student_id,institution,country_home,country_host,gender,age,language_proficiency,gpa_prev,attendance_rate,socio_econ_status,marital_status,teaching_style_difference,dropout,cultural_distance,support_program,target_success,completion_status,subject_field,timestamp_created,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32
LA000589,Daugavpils University,Pakistan,Latvia,Female,24,B2,73.4,0.96,Medium,Married,0.22,0,0.6,None,1,Completed,English Philology,2025-11-02T11:58:25Z,0.82,0.47,0.72,0.86,0.66,0.86,0.84,0.56,0.83,0.51,0.81,0.81,0.49,0.64,0.94,0.66,0.67,0.87,0.69,0.65,0.68,0.85,0.84,0.71,0.93,0.83,0.98,0.93,1.0,0.8,0.67,0.91
LA000516,Daugavpils University,Slovakia,Latvia,Other,26,B2,71.0,0.87,Low,Single,0.06,0,0.1,None,1,Completed,Data Science,2025-11-02T11:58:25Z,0.86,0.79,0.83,0.64,0.92,0.78,1.0,0.79,0.66,0.49,0.69,0.66,0.81,0.74,0.58,0.84,0.51,0.65,0.67,0.57,0.81,0.86,0.81,0.47,0.34,0.55,0.7,0.71,0.89,0.52,0.83,0.83
SL000051,Slovak Tech,Brazil,Slovakia,Female,19,C1,64.7,0.96,Medium,Single,0.19,0,0.5,None,1,Ongoing,Engineering,2025-11-02T11:58:25Z,0.55,0.76,0.67,0.77,0.93,0.88,0.52,0.76,0.89,0.74,0.63,0.85,0.88,0.76,0.62,0.69,0.72,0.72,0.53,0.67,0.72,0.79,0.74,0.62,0.65,0.66,0.83,0.99,0.73,0.42,0.77,0.86
LA000119,Daugavpils University,Italy,Latvia,Other,26,C2,69.6,0.83,High,Single,0.29,0,0.1,LanguageMentor,1,Completed,Psychology,2025-11-02T11:58:25Z,0.82,0.8,0.85,0.85,0.57,0.62,0.76,0.43,0.69,0.66,0.93,0.84,0.92,0.48,0.73,0.91,0.74,0.8,0.78,0.73,0.7,0.88,0.93,0.77,0.83,1.0,0.64,0.6,0.63,0.73,0.82,0.65
SL000028,Comenius University Bratislava,Brazil,Slovakia,Other,25,C1,63.4,1.0,High,Single,0.46,1,0.5,Tutoring,0,Dropped Out,Logistics,2025-11-02T11:58:25Z,0.83,0.71,0.65,0.68,0.86,0.59,0.88,0.79,0.84,0.75,0.75,0.63,0.8,0.72,0.74,0.65,0.81,0.82,0.63,0.9,0.71,0.73,0.89,0.87,0.84,0.8,0.77,0.62,0.63,0.85,0.79,0.69
LA000328,Daugavpils University,USA,Latvia,Male,27,B2,64.0,0.8,High,Single,0.17,0,0.3,Counseling,1,Completed,Logistics,2025-11-02T11:58:25Z,0.66,0.81,0.62,0.57,0.94,0.59,0.82,0.62,0.6,0.63,0.76,0.81,0.72,0.52,1.0,0.61,0.57,0.71,0.64,0.75,0.48,0.73,0.42,0.91,0.8,0.64,0.73,0.76,0.64,0.71,0.92,0.89
SL000087,Slovak Tech,Sri Lanka,Slovakia,Female,25,C1,80.5,0.8,High,Other,0.42,0,0.6,Tutoring,1,Completed,Engineering,2025-11-02T11:58:26Z,0.85,1.0,0.84,0.68,0.78,0.71,0.74,0.72,0.76,0.94,0.83,0.85,0.63,0.91,0.82,0.54,0.55,0.67,0.67,0.59,0.81,0.53,0.95,0.88,0.6,0.9,0.85,0.73,0.63,0.41,0.76,0.8
IT000365,University of Messina,Latvia,Italy,Prefer not to say,21,B2,47.8,0.98,Medium,Single,0.62,0,0.1,BuddyProgram,1,Completed,Logistics,2025-11-02T11:58:25Z,0.67,0.76,0.76,0.68,0.74,1.0,0.74,0.9,0.74,0.94,0.56,0.59,0.77,0.53,0.84,0.4,0.62,0.55,0.67,0.67,0.71,0.78,0.54,0.5,0.65,0.77,0.59,0.68,0.89,0.99,0.79,0.79
IT000517,Politecnico di Torino,Italy,Italy,Prefer not to say,24,B2,82.1,0.87,High,Married,0.38,0,0.1,None,0,Failed Exams,English Philology,2025-11-02T11:58:25Z,0.83,0.83,0.82,0.86,0.87,0.74,1.0,0.71,0.71,0.97,0.81,0.77,0.9,0.76,0.83,0.77,0.94,0.75,0.73,0.91,0.62,0.65,0.97,0.79,0.86,0.85,0.74,0.71,0.67,0.51,0.92,0.84
IT000079,University of Messina,Nigeria,Italy,Female,23,B2,61.0,0.81,Low,Married,0.18,0,0.7,BuddyProgram,1,Completed,Logistics,2025-11-02T11:58:25Z,0.65,0.63,0.77,0.86,0.78,0.84,0.4,1.0,0.85,0.5,0.7,0.84,0.87,0.89,0.78,0.54,0.85,0.88,0.71,0.71,0.7,0.52,0.84,0.54,0.66,0.78,0.46,0.57,0.93,0.66,0.73,1.0
SL000085,Comenius University Bratislava,India,Slovakia,Other,24,B2,65.3,0.93,Low,Married,0.53,0,0.6,Tutoring,1,Completed,Computer Science,2025-11-02T11:58:26Z,0.7,0.83,0.73,0.88,0.86,0.74,0.57,0.74,0.66,0.73,0.77,0.66,0.5,0.59,0.74,0.6,0.66,0.73,0.62,0.9,0.68,0.74,0.72,0.53,0.7,0.6,0.83,0.74,0.8,0.65,0.8,0.76
SL000246,Comenius University Bratislava,Ukraine,Slovakia,Male,21,C2,57.8,0.81,Low,Single,0.52,0,0.1,None,1,Ongoing,Engineering,2025-11-02T11:58:26Z,0.61,0.63,0.94,0.62,0.9,0.69,0.68,0.76,0.8,0.82,0.91,0.61,0.57,0.59,0.59,0.78,0.45,0.78,0.68,0.66,0.85,0.94,0.68,0.78,0.82,0.69,0.82,0.75,0.57,0.8,0.46,0.68
LA000065,TSI Riga,USA,Latvia,Other,19,C2,62.7,0.85,High,Single,0.41,0,0.3,None,1,Completed,English Philology,2025-11-02T11:58:25Z,0.83,0.73,0.64,0.62,0.81,0.63,0.64,0.72,0.7,0.74,0.84,0.71,0.49,0.84,0.51,0.83,0.7,0.76,0.9,0.81,0.7,0.67,0.67,0.49,0.54,0.83,0.61,0.79,0.83,0.86,0.72,0.71
IT000228,University of Messina,Ukraine,Italy,Male,25,A2,79.6,0.9,Low,Other,0.45,0,0.1,Tutoring,1,Completed,Engineering,2025-11-02T11:58:25Z,0.61,0.82,0.88,0.55,0.7,0.8,0.71,0.74,0.93,0.65,0.59,0.68,0.76,0.82,0.64,0.84,0.67,0.82,0.65,0.57,0.68,0.87,0.83,0.88,0.51,0.61,0.82,0.7,0.85,0.77,0.67,0.66
IT000028,University of Messina,Ukraine,Italy,Prefer not to say,19,C2,70.2,0.95,Medium,Single,0.22,0,0.1,Tutoring,1,Completed,Computer Science,2025-11-02T11:58:25Z,0.89,0.88,0.58,0.91,0.61,0.64,0.62,0.63,0.68,0.66,0.91,0.66,0.66,0.86,0.85,0.83,0.74,0.96,0.75,0.65,0.86,0.75,0.77,0.64,0.89,0.63,0.76,0.75,1.0,0.55,0.87,0.84
IT000241,Politecnico di Torino,Bangladesh,Italy,Female,27,C1,74.9,0.74,High,Married,0.41,0,0.6,None,1,Completed,Logistics,2025-11-02T11:58:25Z,0.67,0.8,0.69,0.75,0.64,0.87,0.75,0.73,0.83,0.82,1.0,0.71,0.8,0.72,0.87,0.56,0.83,0.94,0.64,0.63,0.51,0.63,0.78,0.77,0.69,0.87,0.9,0.77,0.66,0.59,0.74,0.86
LA000300,TSI Riga,Ukraine,Latvia,Other,22,C2,82.9,0.96,High,Single,0.21,0,0.1,None,1,Completed,Business,2025-11-02T11:58:25Z,0.91,0.75,0.6,0.87,0.71,0.63,0.7,0.62,0.39,0.89,0.77,0.81,0.82,1.0,0.81,0.78,0.99,0.63,0.83,0.47,0.8,0.59,0.56,0.88,0.83,0.89,0.97,0.83,0.84,0.65,0.74,0.72
IT000374,University of Messina,Ukraine,Italy,Female,25,A2,62.8,0.84,Medium,Single,0.47,1,0.1,BuddyProgram,0,Dropped Out,Data Science,2025-11-02T11:58:25Z,0.62,0.59,0.73,0.66,0.7,0.88,0.49,0.83,0.75,0.7,0.73,0.69,0.73,0.63,0.68,0.81,0.81,0.44,0.84,0.84,0.67,0.69,0.7,0.67,0.73,0.64,0.83,0.4,0.91,0.76,0.71,0.9
SL000256,Comenius University Bratislava,Pakistan,Slovakia,Male,23,B2,61.4,0.79,Low,Other,0.13,0,0.6,LanguageMentor,1,Completed,Psychology,2025-11-02T11:58:26Z,0.71,0.65,0.76,0.55,0.82,0.82,0.74,0.77,0.74,1.0,0.76,0.87,0.74,0.65,0.78,0.84,0.81,0.68,0.87,0.82,0.67,0.63,0.62,0.68,0.66,0.64,0.93,0.93,0.77,0.81,0.69,0.84
IT000471,Politecnico di Torino,India,Italy,Male,22,C1,66.4,0.82,High,Other,0.23,0,0.6,None,0,Failed Exams,Data Science,2025-11-02T11:58:25Z,0.61,0.75,0.47,0.71,0.61,0.67,0.72,0.53,0.85,0.59,0.87,0.58,0.8,0.93,0.76,0.96,0.92,0.66,0.69,0.62,0.86,0.54,0.7,0.75,0.64,0.53,0.73,0.78,0.75,0.62,0.74,0.75
SL000144,Slovak Tech,Italy,Slovakia,Female,22,C1,70.6,0.96,Low,Other,0.42,0,0.1,None,1,Completed,Economics,2025-11-02T11:58:26Z,0.62,0.9,0.49,0.64,0.71,0.91,0.47,0.68,0.64,1.0,0.52,0.65,0.98,0.74,0.76,0.89,0.78,0.69,0.59,0.84,0.81,0.78,0.81,0.75,0.81,0.72,0.67,0.78,0.81,0.67,0.68,0.63
IT000212,University of Messina,Slovakia,Italy,Other,26,B2,63.6,0.96,Medium,Married,0.19,0,0.1,Tutoring,1,Completed,Economics,2025-11-02T11:58:25Z,0.51,0.78,0.67,0.82,0.66,0.87,0.77,0.83,0.85,0.73,0.66,0.46,0.65,0.76,0.57,0.86,0.43,0.63,0.54,0.73,0.85,0.88,0.62,0.75,0.62,0.63,0.7,0.65,0.6,0.45,0.93,0.7
LA000576,TSI Riga,Pakistan,Latvia,Other,26,A2,72.1,0.93,Low,Married,0.26,0,0.6,LanguageMentor,0,Failed Exams,Economics,2025-11-02T11:58:25Z,0.71,0.81,0.76,0.94,0.74,0.87,0.64,0.71,0.68,0.91,0.78,0.81,0.8,0.86,0.59,0.67,0.52,0.8,1.0,0.74,0.7,0.79,0.76,0.78,0.84,0.72,0.64,0.75,0.68,0.81,0.88,0.87
LA000201,TSI Riga,Spain,Latvia,Female,21,C2,78.6,0.79,Low,Other,0.24,0,0.1,None,1,Completed,Psychology,2025-11-02T11:58:25Z,0.43,0.94,0.79,0.55,0.67,0.75,0.74,0.63,0.83,0.72,0.77,0.76,0.62,0.76,0.86,0.8,0.82,0.59,0.57,0.75,0.61,0.76,0.74,0.78,0.87,0.65,0.82,0.78,0.74,0.6,0.8,0.83
LA000424,Daugavpils University,Pakistan,Latvia,Male,29,B1,78.3,1.0,Low,Other,0.51,0,0.6,None,1,Completed,English Philology,2025-11-02T11:58:25Z,0.8,0.79,0.86,0.78,0.71,0.57,0.79,0.74,0.83,0.85,0.86,0.71,0.67,0.62,0.66,0.8,0.8,0.46,0.8,0.79,0.62,0.63,0.86,0.84,0.8,0.72,0.63,0.7,0.46,0.67,0.53,0.68
SL000475,Comenius University Bratislava,USA,Slovakia,Other,23,C2,61.2,1.0,Low,Other,0.48,0,0.3,LanguageMentor,1,Ongoing,English Philology,2025-11-02T11:58:26Z,0.74,0.97,0.72,0.77,0.66,0.63,0.72,0.45,0.71,0.62,0.73,1.0,0.46,0.71,0.62,0.66,0.43,0.57,0.78,0.76,0.64,0.48,0.7,1.0,0.68,0.66,0.83,0.72,0.85,0.85,0.59,0.78
LA000311,Daugavpils University,USA,Latvia,Female,21,C2,75.9,0.7,Low,Single,0.33,1,0.3,LanguageMentor,0,Dropped Out,Psychology,2025-11-02T11:58:25Z,0.92,0.51,0.78,0.7,0.92,0.54,0.6,0.77,0.71,0.44,0.66,0.71,0.82,0.85,0.66,0.75,0.7,0.81,0.67,0.61,0.52,0.85,0.92,0.95,0.66,0.68,0.58,0.54,0.87,0.61,0.56,0.96
SL000149,Slovak Tech,Nigeria,Slovakia,Male,22,B1,67.4,0.98,Low,Other,0.09,0,0.7,None,1,Completed,Engineering,2025-11-02T11:58:26Z,0.83,0.85,0.76,1.0,0.65,0.79,0.79,0.77,0.73,0.67,0.62,0.59,0.72,0.8,0.87,0.58,0.82,0.71,0.63,0.57,0.57,0.68,0.93,0.69,0.87,0.87,0.41,0.81,0.76,0.82,0.81,0.68
SL000147,Slovak Tech,India,Slovakia,Male,21,B1,69.0,0.86,Medium,Other,0.27,0,0.6,LanguageMentor,0,Failed Exams,Logistics,2025-11-02T11:58:26Z,0.64,0.86,0.67,0.74,0.86,0.51,0.87,0.54,0.68,0.81,0.69,0.7,0.46,0.88,0.59,0.92,0.65,0.75,0.55,0.73,0.37,0.67,0.9,0.75,0.84,0.66,0.74,0.62,0.69,0.62,0.64,0.72
SL000126,Comenius University Bratislava,Bangladesh,Slovakia,Male,28,B2,79.7,0.98,Medium,Married,0.33,0,0.6,Tutoring,1,Completed,English Philology,2025-11-02T11:58:26Z,0.7,0.68,1.0,0.85,0.87,0.7,0.57,0.76,0.93,0.75,0.73,0.66,0.77,0.87,0.7,0.68,0.67,0.74,0.83,1.0,0.66,0.61,0.68,0.58,0.75,1.0,0.84,0.74,0.58,0.86,0.88,0.59
SL000483,Slovak Tech,Nigeria,Slovakia,Male,23,A2,80.4,0.97,Low,Other,0.13,1,0.7,None,0,Dropped Out,Computer Science,2025-11-02T11:58:26Z,0.87,0.88,0.46,0.72,0.73,0.81,0.83,0.64,0.76,0.78,0.53,0.79,0.49,0.74,0.76,0.55,0.76,0.72,0.86,0.59,0.59,0.65,0.65,0.85,0.87,0.76,0.39,0.86,0.88,0.73,0.83,0.6
IT000170,University of Messina,Latvia,Italy,Female,19,B1,74.4,0.81,High,Single,0.14,0,0.1,Tutoring,1,Ongoing,English Philology,2025-11-02T11:58:25Z,1.0,0.59,0.78,0.83,0.9,0.65,0.52,0.74,0.6,0.86,0.83,0.51,0.6,0.82,0.51,0.68,0.33,0.69,0.69,0.81,0.83,0.6,0.7,0.9,0.88,0.74,0.63,0.8,0.69,0.65,0.43,0.61
LA000030,TSI Riga,Sri Lanka,Latvia,Other,28,C1,76.0,0.96,Low,Other,0.64,0,0.6,None,1,Completed,Logistics,2025-11-02T11:58:25Z,0.98,0.77,0.66,0.7,0.93,0.76,0.53,0.75,0.64,0.55,0.86,0.78,0.77,0.62,0.62,0.61,0.51,0.5,0.36,0.44,0.37,0.47,0.44,0.41,0.72,0.57,0.96,0.84,0.63,0.67,0.67,0.85
SL000378,Slovak Tech,USA,Slovakia,Prefer not to say,21,B1,99.1,0.85,Medium,Other,0.31,0,0.3,Tutoring,1,Completed,Business,2025-11-02T11:58:26Z,0.76,0.72,0.79,0.83,0.71,0.86,0.5,0.67,0.47,0.72,0.78,0.79,0.7,0.56,0.76,0.68,0.8,0.6,0.62,0.59,0.77,0.79,0.62,0.45,0.72,0.57,0.82,0.79,0.58,0.7,0.57,0.91
SL000341,Comenius University Bratislava,Latvia,Slovakia,Other,23,B2,67.8,0.89,Medium,Married,0.21,0,0.1,Tutoring,1,Ongoing,Computer Science,2025-11-02T11:58:26Z,0.63,0.56,0.84,0.48,0.68,0.88,0.75,0.82,0.86,0.64,0.64,0.73,0.88,0.7,0.86,0.58,0.84,0.59,0.73,0.68,0.76,0.94,0.82,0.93,1.0,0.48,0.72,0.83,0.8,0.5,0.88,0.67
LA000414,TSI Riga,Bangladesh,Latvia,Female,29,C1,63.6,0.89,Medium,Single,0.14,0,0.6,LanguageMentor,1,Ongoing,Business,2025-11-02T11:58:25Z,0.53,0.62,0.85,0.92,0.6,0.87,0.92,0.85,0.77,0.79,0.66,0.83,0.85,0.77,0.78,0.74,0.91,0.67,0.99,0.86,0.55,0.76,0.95,0.68,0.98,0.75,0.92,0.79,0.79,0.57,0.94,0.49
SL000425,Slovak Tech,Pakistan,Slovakia,Prefer not to say,24,C1,69.3,0.81,Medium,Married,0.15,1,0.6,LanguageMentor,0,Dropped Out,Engineering,2025-11-02T11:58:26Z,0.52,0.78,0.85,0.6,0.88,0.72,0.76,0.67,0.67,0.72,0.79,0.64,0.85,0.83,0.74,0.76,0.79,0.74,0.87,0.78,0.64,0.75,0.79,0.86,0.79,0.6,0.9,0.71,0.84,0.65,0.62,0.69
LA000318,Daugavpils University,Slovakia,Latvia,Female,24,B1,75.6,0.97,High,Single,0.16,0,0.1,BuddyProgram,0,Failed Exams,Logistics,2025-11-02T11:58:25Z,0.87,0.7,0.76,0.67,0.88,0.59,0.73,0.86,0.45,0.72,0.82,0.72,0.89,0.7,0.7,0.74,0.62,0.61,0.77,0.65,0.75,1.0,0.74,0.85,0.53,0.65,0.71,0.73,0.55,0.9,0.59,0.82
SL000068,Comenius University Bratislava,Brazil,Slovakia,Female,24,A2,53.9,0.83,High,Married,0.63,0,0.5,None,1,Completed,Psychology,2025-11-02T11:58:26Z,0.67,0.9,0.86,0.74,0.76,0.94,0.72,0.9,0.78,0.62,0.67,0.59,0.58,0.64,0.72,0.47,0.6,0.34,0.28,0.63,0.5,0.6,0.59,0.48,0.68,0.68,0.48,0.74,0.66,0.77,0.75,0.46
LA000108,Daugavpils University,Spain,Latvia,Other,23,A2,59.7,0.78,Medium,Married,0.59,1,0.1,None,0,Dropped Out,Psychology,2025-11-02T11:58:25Z,0.72,0.67,0.58,0.75,0.74,0.72,0.74,0.77,1.0,0.85,0.61,0.71,0.55,0.73,0.53,0.9,0.78,0.53,0.61,0.73,0.83,0.68,0.8,0.79,1.0,0.97,0.71,0.74,0.63,0.84,0.57,0.52
SL000349,Slovak Tech,Ukraine,Slovakia,Prefer not to say,24,C1,73.3,0.89,High,Other,0.29,0,0.1,LanguageMentor,1,Completed,Engineering,2025-11-02T11:58:26Z,0.59,0.73,0.68,0.87,0.85,0.53,0.7,0.7,0.82,0.71,0.74,0.82,0.78,0.72,0.83,0.62,0.95,0.61,0.7,0.64,0.83,0.78,0.48,0.83,0.63,0.78,0.65,0.75,0.76,0.62,0.83,0.84
IT000397,Politecnico di Torino,Brazil,Italy,Female,23,B2,69.6,0.89,Low,Single,0.08,0,0.5,BuddyProgram,1,Completed,Economics,2025-11-02T11:58:25Z,0.71,0.53,0.61,0.59,0.7,0.73,0.69,0.99,0.57,0.57,0.83,0.65,0.76,1.0,0.77,0.98,0.84,0.8,0.55,0.54,0.68,0.85,0.71,0.62,0.47,0.68,1.0,0.47,0.89,0.72,0.5,0.79
SL000430,Slovak Tech,Latvia,Slovakia,Other,24,C1,92.7,0.73,Medium,Single,0.22,0,0.1,LanguageMentor,1,Completed,Psychology,2025-11-02T11:58:26Z,0.56,0.58,0.97,0.86,0.76,0.63,0.7,0.55,1.0,0.77,0.79,0.79,0.81,0.63,0.56,0.5,0.72,0.56,0.88,0.73,0.82,0.82,0.7,0.67,0.73,0.8,0.76,0.76,0.73,1.0,0.73,0.7
IT000132,Politecnico di Torino,Pakistan,Italy,Male,24,C2,53.1,0.78,Medium,Married,0.51,0,0.6,Tutoring,1,Completed,Logistics,2025-11-02T11:58:25Z,0.64,0.93,0.78,0.63,0.86,0.86,0.78,0.57,0.6,0.92,0.56,0.75,0.79,0.53,0.75,0.83,0.66,0.47,0.73,0.63,0.84,0.66,0.54,0.84,0.84,0.69,0.65,0.76,0.94,0.88,0.65,1.0
LA000133,Daugavpils University,India,Latvia,Other,24,C1,98.9,1.0,Medium,Other,0.38,0,0.6,None,1,Completed,Computer Science,2025-11-02T11:58:25Z,0.78,0.79,0.72,0.61,0.72,0.7,0.8,0.7,0.64,0.69,0.82,0.69,0.82,0.59,0.56,0.77,0.84,0.83,0.85,0.76,0.73,0.77,0.47,0.73,0.72,0.88,0.95,0.87,0.7,0.69,0.75,0.39
LA000185,TSI Riga,Pakistan,Latvia,Other,23,B2,69.4,0.89,Low,Married,0.08,0,0.6,BuddyProgram,1,Completed,Logistics,2025-11-02T11:58:25Z,0.64,0.46,0.78,0.73,0.75,0.81,0.55,0.97,0.75,0.88,0.82,0.46,0.73,0.57,0.77,0.84,0.77,0.79,0.59,0.72,0.81,0.61,0.68,0.45,0.82,0.69,0.84,0.76,0.73,0.75,0.73,0.86
IT000388,Politecnico di Torino,USA,Italy,Female,21,A2,67.0,0.84,Low,Single,0.19,0,0.3,Tutoring,1,Completed,Logistics,2025-11-02T11:58:25Z,0.66,0.5,0.74,0.64,0.87,0.81,0.57,0.64,0.59,0.3,0.83,0.65,0.68,0.68,0.8,0.74,0.58,0.4,0.75,0.76,0.94,0.8,0.86,0.75,0.86,0.75,0.79,0.82,0.78,0.73,0.47,0.67
SL000442,Comenius University Bratislava,Spain,Slovakia,Other,27,B1,76.5,0.7,Low,Single,0.34,0,0.1,Tutoring,1,Completed,English Philology,2025-11-02T11:58:26Z,0.55,0.83,0.64,0.86,0.68,0.67,0.64,0.54,0.68,0.77,0.72,0.65,0.67,0.61,0.97,0.67,0.7,0.76,0.71,0.75,0.72,0.45,0.66,0.82,0.55,0.53,0.57,0.79,0.48,0.82,0.73,0.73
IT000364,Politecnico di Torino,Sri Lanka,Italy,Prefer not to say,22,B1,76.9,1.0,Medium,Married,0.59,0,0.6,BuddyProgram,0,Failed Exams,Data Science,2025-11-02T11:58:25Z,0.86,0.76,0.78,0.68,0.77,0.77,0.58,0.83,0.78,0.89,0.88,0.73,0.89,0.76,0.68,0.66,0.68,0.72,0.49,0.75,0.66,0.67,0.6,0.83,0.54,0.42,0.58,0.68,0.59,0.5,0.73,0.92
IT000282,University of Messina,Latvia,Italy,Female,22,B2,66.2,0.94,Low,Married,0.24,0,0.1,Tutoring,0,Failed Exams,Psychology,2025-11-02T11:58:25Z,0.73,0.65,0.75,0.49,0.8,0.76,0.75,0.9,0.67,0.63,0.97,0.67,0.91,0.66,0.65,0.83,0.46,0.79,0.57,0.79,0.89,0.74,0.7,0.64,0.65,0.53,0.61,0.71,0.69,0.56,0.61,0.75
LA000114,TSI Riga,Pakistan,Latvia,Male,25,C1,70.7,0.72,Medium,Other,0.3,0,0.6,BuddyProgram,0,Failed Exams,Computer Science,2025-11-02T11:58:25Z,0.79,0.77,0.72,0.66,0.74,0.94,0.73,0.84,0.61,0.75,0.67,0.8,0.9,0.59,0.74,0.73,0.83,0.78,0.82,0.65,0.95,0.68,0.81,0.55,0.62,0.83,0.59,0.74,0.94,0.6,0.76,0.67
LA000046,TSI Riga,Vietnam,Latvia,Other,27,B2,72.7,0.97,Low,Single,0.37,0,0.6,None,1,Completed,Psychology,2025-11-02T11:58:25Z,0.79,0.58,0.81,0.67,0.71,0.59,0.61,0.61,0.53,0.73,0.56,0.64,0.8,0.71,0.73,0.81,0.79,0.65,0.69,0.73,0.89,0.77,0.73,0.63,0.75,0.62,0.84,0.61,0.69,0.78,0.82,0.83
